統計年份,月份,詐騙管道,詐騙手法
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假廣告
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,假投資
113年,4月,其他,騙取個人資料
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,盜(冒)用 LINE 帳號
113年,4月,網路詐騙,虛擬遊戲詐騙
113年,4月,直接與人接觸,其他
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,接獲歹徒電話,假冒機構(公務員)詐財
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,盜(冒)用 LINE 帳號
113年,4月,網路詐騙,虛擬遊戲詐騙
113年,4月,網路詐騙,釣魚簡訊(惡意連結)
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假借銀行貸款詐財
113年,4月,網路詐騙,假借銀行貸款詐財
113年,4月,網路詐騙,假交友(徵婚詐財)
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,假借銀行貸款詐財
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,其他
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,盜(冒)用 LINE 帳號
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,騙取金融帳戶(卡片)
113年,4月,網路詐騙,假借銀行貸款詐財
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,假求職
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假借銀行貸款詐財
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,虛擬遊戲詐騙
113年,4月,網路詐騙,假求職
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,色情應召詐財
113年,4月,接獲歹徒電話,假冒機構(公務員)詐財
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,其他
113年,4月,網路詐騙,假廣告
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,信用卡遭盜刷
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,假慈善機關(急難救助)
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,假求職
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,騙取金融帳戶(卡片)
113年,4月,網路詐騙,盜(冒)用 LINE 帳號
113年,4月,接獲歹徒電話,猜猜我是誰
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,釣魚簡訊(惡意連結)
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,假借銀行貸款詐財
113年,4月,直接與人接觸,假投資
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,接獲歹徒電話,假退費(稅)真詐財
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,騙取金融帳戶(卡片)
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假借銀行貸款詐財
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,盜(冒)用 LINE 帳號
113年,4月,網路詐騙,假網拍
113年,4月,直接與人接觸,騙取金融帳戶(卡片)
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假求職
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,盜用網路帳號
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,騙取金融帳戶(卡片)
113年,4月,網路詐騙,盜(冒)用 LINE 帳號
113年,4月,網路詐騙,假網拍
113年,4月,接獲歹徒電話,解除分期付款(騙買家)
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,騙取金融帳戶(卡片)
113年,4月,網路詐騙,假網拍
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,虛擬遊戲詐騙
113年,4月,直接與人接觸,其他
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,中獎通知
113年,4月,網路詐騙,解除分期付款(騙賣家)
113年,4月,網路詐騙,假交友(投資詐財)
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,騙取金融帳戶(卡片)
113年,4月,直接與人接觸,其他
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假廣告
113年,4月,網路詐騙,假投資
113年,4月,網路詐騙,假交友(徵婚詐財)
113年,4月,網路詐騙,色情應召詐財
113年,4月,網路詐騙,色情應召詐財
113年,4月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,假網拍
113年,5月,接獲歹徒電話,假冒機構(公務員)詐財
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,接獲歹徒電話,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假投資
113年,5月,直接與人接觸,其他
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,直接與人接觸,其他
113年,5月,網路詐騙,其他
113年,5月,其他,假冒機構(公務員)詐財
113年,5月,接獲歹徒電話,假冒機構(公務員)詐財
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,接獲歹徒電話,猜猜我是誰
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,盜(冒)用 LINE 帳號
113年,5月,網路詐騙,假投資
113年,5月,接獲歹徒電話,假冒機構(公務員)詐財
113年,5月,接獲歹徒電話,猜猜我是誰
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,色情應召詐財
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,其他
113年,5月,直接與人接觸,其他
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,假投資
113年,5月,直接與人接觸,假投資
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假廣告
113年,5月,網路詐騙,假廣告
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,釣魚簡訊(惡意連結)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,盜(冒)用 LINE 帳號
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假網拍
113年,5月,接獲歹徒電話,猜猜我是誰
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,釣魚簡訊(惡意連結)
113年,5月,網路詐騙,假交友(徵婚詐財)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,其他
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假冒機構(公務員)詐財
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,直接與人接觸,其他
113年,5月,網路詐騙,假交友(徵婚詐財)
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假借銀行貸款詐財
113年,5月,網路詐騙,盜(冒)用 LINE 帳號
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,盜(冒)用 LINE 帳號
113年,5月,網路詐騙,色情應召詐財
113年,5月,網路詐騙,假網拍
113年,5月,其他,信用卡遭盜刷
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,假冒機構(公務員)詐財
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假借銀行貸款詐財
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,其他,其他
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假借銀行貸款詐財
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假借銀行貸款詐財
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假投資
113年,5月,直接與人接觸,其他
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,直接與人接觸,假投資
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,色情應召詐財
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,色情應召詐財
113年,5月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,5月,網路詐騙,色情應召詐財
113年,5月,網路詐騙,假借銀行貸款詐財
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,接獲歹徒電話,假冒機構(公務員)詐財
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,中獎通知
113年,5月,直接與人接觸,假投資
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,接獲歹徒電話,假借信用卡遭盜刷詐財
113年,5月,網路詐騙,假廣告
113年,5月,網路詐騙,色情應召詐財
113年,5月,網路詐騙,假交友(徵婚詐財)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,其他
113年,5月,網路詐騙,假投資
113年,5月,接獲歹徒電話,假冒機構(公務員)詐財
113年,5月,網路詐騙,假借銀行貸款詐財
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,中獎通知
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,假交友(徵婚詐財)
113年,5月,直接與人接觸,假投資
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假網拍
113年,5月,接獲歹徒電話,猜猜我是誰
113年,5月,網路詐騙,其他
113年,5月,網路詐騙,假投資
113年,5月,直接與人接觸,其他
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假借銀行貸款詐財
113年,5月,直接與人接觸,假交友(投資詐財)
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,網路詐騙,假預付型消費詐財
113年,5月,直接與人接觸,假投資
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,盜用網路帳號
113年,5月,網路詐騙,假求職
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,假網拍
113年,5月,網路詐騙,假交友(投資詐財)
113年,5月,直接與人接觸,其他
113年,5月,網路詐騙,假投資
113年,5月,網路詐騙,色情應召詐財
113年,5月,網路詐騙,虛擬遊戲詐騙
113年,5月,網路詐騙,解除分期付款(騙賣家)
113年,5月,網路詐騙,騙取金融帳戶(卡片)
113年,5月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,直接與人接觸,假投資
113年,6月,網路詐騙,色情應召詐財
113年,6月,網路詐騙,中獎通知
113年,6月,網路詐騙,假廣告
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假借銀行貸款詐財
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,直接與人接觸,假投資
113年,6月,網路詐騙,假交友(投資詐財)
113年,6月,網路詐騙,騙取個人資料
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,色情應召詐財
113年,6月,其他,其他
113年,6月,網路詐騙,假借銀行貸款詐財
113年,6月,網路詐騙,假投資
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,假慈善機關(急難救助)
113年,6月,接獲歹徒電話,猜猜我是誰
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,盜用網路帳號
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,中獎通知
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假交友(投資詐財)
113年,6月,網路詐騙,色情應召詐財
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假借銀行貸款詐財
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,中獎通知
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,信用卡遭盜刷
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假求職
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假廣告
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假預付型消費詐財
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假廣告
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假交友(投資詐財)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,其他
113年,6月,直接與人接觸,其他
113年,6月,網路詐騙,色情應召詐財
113年,6月,網路詐騙,假借銀行貸款詐財
113年,6月,網路詐騙,假交友(徵婚詐財)
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,色情應召詐財
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,接獲歹徒電話,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假廣告
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假投資
113年,6月,直接與人接觸,假投資
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假交友(投資詐財)
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,假廣告
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假交友(投資詐財)
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,中獎通知
113年,6月,直接與人接觸,其他
113年,6月,網路詐騙,假求職
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假網拍
113年,6月,直接與人接觸,假投資
113年,6月,網路詐騙,假投資
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,接獲歹徒電話,假冒機構(公務員)詐財
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,其他
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假冒機構(公務員)詐財
113年,6月,網路詐騙,假預付型消費詐財
113年,6月,網路詐騙,假交友(徵婚詐財)
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假求職
113年,6月,網路詐騙,盜用網路帳號
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,其他
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,中獎通知
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,六合彩
113年,6月,網路詐騙,假投資
113年,6月,接獲歹徒電話,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,盜(冒)用 LINE 帳號
113年,6月,直接與人接觸,其他
113年,6月,直接與人接觸,假借銀行貸款詐財
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假預付型消費詐財
113年,6月,網路詐騙,假網拍
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,色情應召詐財
113年,6月,網路詐騙,假投資
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,虛擬遊戲詐騙
113年,6月,網路詐騙,假投資
113年,6月,接獲歹徒電話,騙取金融帳戶(卡片)
113年,6月,網路詐騙,中獎通知
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假交友(投資詐財)
113年,6月,網路詐騙,色情應召詐財
113年,6月,網路詐騙,假求職
113年,6月,網路詐騙,假交友(徵婚詐財)
113年,6月,網路詐騙,假投資
113年,6月,接獲歹徒電話,其他
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,色情應召詐財
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假預付型消費詐財
113年,6月,直接與人接觸,假投資
113年,6月,直接與人接觸,其他
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,中獎通知
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假交友(徵婚詐財)
113年,6月,網路詐騙,假投資
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,假投資
113年,6月,接獲歹徒電話,假冒機構(公務員)詐財
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,假推銷
113年,6月,網路詐騙,假投資
113年,6月,直接與人接觸,假借銀行貸款詐財
113年,6月,網路詐騙,假交友(投資詐財)
113年,6月,網路詐騙,假求職
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,直接與人接觸,假投資
113年,6月,網路詐騙,色情應召詐財
113年,6月,接獲手機簡訊,釣魚簡訊(惡意連結)
113年,6月,直接與人接觸,假算命(看風水)
113年,6月,網路詐騙,假投資
113年,6月,網路詐騙,解除分期付款(騙賣家)
113年,6月,網路詐騙,假網拍
113年,6月,網路詐騙,騙取金融帳戶(卡片)
113年,6月,網路詐騙,假交友(徵婚詐財)
113年,6月,網路詐騙,假廣告
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,網路詐騙,假交友(投資詐財)
113年,7月,網路詐騙,假交友(投資詐財)
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,接獲歹徒電話,假冒機構(公務員)詐財
113年,7月,網路詐騙,假借銀行貸款詐財
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,網路詐騙,色情應召詐財
113年,7月,接獲歹徒電話,猜猜我是誰
113年,7月,網路詐騙,假投資
113年,7月,直接與人接觸,其他
113年,7月,網路詐騙,解除分期付款(騙賣家)
113年,7月,接獲歹徒電話,假冒機構(公務員)詐財
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,網路詐騙,盜用網路帳號
113年,7月,網路詐騙,盜(冒)用 LINE 帳號
113年,7月,網路詐騙,色情應召詐財
113年,7月,網路詐騙,虛擬遊戲詐騙
113年,7月,網路詐騙,中獎通知
113年,7月,網路詐騙,假交友(投資詐財)
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,色情應召詐財
113年,7月,網路詐騙,假廣告
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假預付型消費詐財
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假求職
113年,7月,網路詐騙,假借銀行貸款詐財
113年,7月,網路詐騙,解除分期付款(騙買家)
113年,7月,網路詐騙,假網拍
113年,7月,網路詐騙,猜猜我是誰
113年,7月,接獲歹徒電話,假冒機構(公務員)詐財
113年,7月,網路詐騙,假網拍
113年,7月,網路詐騙,假交友(投資詐財)
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假交友(投資詐財)
113年,7月,網路詐騙,解除分期付款(騙賣家)
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假網拍
113年,7月,網路詐騙,解除分期付款(騙賣家)
113年,7月,網路詐騙,色情應召詐財
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,網路詐騙,假投資
113年,7月,網路詐騙,假借銀行貸款詐財
113年,7月,網路詐騙,色情應召詐財
113年,7月,網路詐騙,騙取金融帳戶(卡片)
113年,7月,網路詐騙,假投資
